id,question,link_to_qa,link_to_assessment
1,Money Invention,https://chatgpt.com/share/674c9c3b-50bc-8010-87be-8bf32125ff1f,https://chatgpt.com/share/674c9060-a670-8010-9e18-318a88254b73
2,GFC Causes,https://chatgpt.com/share/674c9cb3-8aa8-8010-8a4c-6ed9d13acd12,https://chatgpt.com/share/674c9eef-3d44-8010-9dc4-1c46e926ffd7
3,Money Supply and Monetary Base Relationship,https://chatgpt.com/share/674d8f6f-feb4-8010-808f-b78c9dc93216,https://chatgpt.com/share/674d9198-4fe8-8010-a520-8f9a896aa3bd
4,Deposit and Loan Relationship,https://chatgpt.com/share/674d9a08-b050-8010-b5c6-0425de5c89d4,https://chatgpt.com/share/674d9a40-3230-8010-a62d-85c3634a05d3
5,Unemployment Cause,https://chatgpt.com/share/674d9bf4-b348-8010-8b3e-08d872bf988d,https://chatgpt.com/share/674d9c6c-3e90-8010-8cd1-7e67b854350d
6,Taxation Purpose,https://chatgpt.com/share/674d9f72-1038-8010-b61a-004eef030bc1,https://chatgpt.com/share/674da0f7-c728-8010-a90e-15d3b7847566
7,Public Debt Purpose,https://chatgpt.com/share/674da22a-c1a8-8010-841a-50e1766ceba6,https://chatgpt.com/share/674da29b-1d00-8010-aa0a-d3c95dca73fa
8,Sovereign Bankruptcy,https://chatgpt.com/share/674dab19-880c-8010-b8db-f26281646a1e,https://chatgpt.com/share/674dac03-f840-8010-8add-80e1b3862b97
9,Inflation Causes,https://chatgpt.com/share/674eec69-ad10-8010-8597-47af8a6d09c1,https://chatgpt.com/share/674eeca7-f000-8010-a375-ca0f1e1fda7d
10,Fiscal Deficit and Private Investment Relationship,https://chatgpt.com/share/674ef01e-8b34-8010-a4f7-3e6f72bf5d67,https://chatgpt.com/share/674ef078-784c-8010-84ec-4dd4ddceda9d
11,Equilibrium,https://chatgpt.com/share/67a7806e-5804-8010-992e-24e34be6fdfe,https://chatgpt.com/share/67a782b8-f7c0-8010-9924-44a39ec7ba95
12,Fiscal deficit and interest rates relationship,https://chatgpt.com/share/67a74263-a238-8010-9dc2-ef9f961a3246,NA
13,Fiscal deficit and yield curve relationship,https://chatgpt.com/share/67a72eab-57ec-8010-a7ad-5daf9ab4c228,NA
14,Private investment and nominal interest rates relationship,https://chatgpt.com/share/67a67b9a-0554-8010-9595-b8d0fe953d1d,https://chatgpt.com/share/67a67b71-4960-8010-8380-83051979f7b1
15,Reserve requirement and loan issuance relationship,https://chatgpt.com/share/67a64a23-ca1c-8010-b4e2-779eb66caafe,https://chatgpt.com/share/67a64a05-d0e4-8010-8492-d2bec2c262f1
16,Great Depression,https://chatgpt.com/share/67a642d5-c234-8010-a567-1e6e36d94cc7,https://chatgpt.com/share/67a642c1-2034-8010-a452-01eed137c352
17,Price Determination,https://chatgpt.com/share/67a63e3e-861c-8010-8616-f1bf1284e780,NA
